{'loss': 0.3882, 'grad_norm': 27.824216842651367, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2116, 'grad_norm': 18.388233184814453, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.5084, 'grad_norm': 25.42599868774414, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2747, 'grad_norm': 13.276278495788574, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3048, 'grad_norm': 23.706501007080078, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3082, 'grad_norm': 21.84823226928711, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3242, 'grad_norm': 19.428539276123047, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3828, 'grad_norm': 23.368999481201172, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1434, 'grad_norm': 14.870563507080078, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.4152, 'grad_norm': 27.570526123046875, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1119, 'grad_norm': 9.943158149719238, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.256, 'grad_norm': 16.337160110473633, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2973, 'grad_norm': 18.85189437866211, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.266, 'grad_norm': 22.287403106689453, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4721, 'grad_norm': 25.488218307495117, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4321, 'grad_norm': 25.851165771484375, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6143, 'grad_norm': 17.522727966308594, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3378, 'grad_norm': 26.087148666381836, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2668, 'grad_norm': 21.568485260009766, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6439, 'grad_norm': 30.144411087036133, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3542, 'grad_norm': 15.726235389709473, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6759, 'grad_norm': 22.2764835357666, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4923, 'grad_norm': 27.55925178527832, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4193, 'grad_norm': 23.03541374206543, 'learning_rate': 1e-06, 'epoch': 0.01}
