{'loss': 0.3912, 'grad_norm': 28.095855712890625, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.211, 'grad_norm': 18.419971466064453, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.5087, 'grad_norm': 25.795351028442383, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.2728, 'grad_norm': 13.12312126159668, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3047, 'grad_norm': 23.578899383544922, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3068, 'grad_norm': 21.790090560913086, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3224, 'grad_norm': 19.71812629699707, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.3817, 'grad_norm': 23.11035919189453, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.1428, 'grad_norm': 14.737183570861816, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.4128, 'grad_norm': 27.37229347229004, 'learning_rate': 1e-06, 'epoch': 0.0}
{'loss': 0.111, 'grad_norm': 9.879897117614746, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2567, 'grad_norm': 16.363605499267578, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2963, 'grad_norm': 18.514326095581055, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2661, 'grad_norm': 21.904338836669922, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4699, 'grad_norm': 25.387113571166992, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4355, 'grad_norm': 26.13751792907715, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6152, 'grad_norm': 17.515117645263672, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3251, 'grad_norm': 26.084165573120117, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2685, 'grad_norm': 21.581586837768555, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6378, 'grad_norm': 30.026142120361328, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3529, 'grad_norm': 15.625152587890625, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6716, 'grad_norm': 22.302642822265625, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4932, 'grad_norm': 27.398136138916016, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4243, 'grad_norm': 23.99038314819336, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5401, 'grad_norm': 24.385541915893555, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3299, 'grad_norm': 22.43011474609375, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.529, 'grad_norm': 33.53602600097656, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4694, 'grad_norm': 23.394201278686523, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3685, 'grad_norm': 17.639667510986328, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4774, 'grad_norm': 29.0753231048584, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.28, 'grad_norm': 37.6268310546875, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3129, 'grad_norm': 17.38300895690918, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5231, 'grad_norm': 22.740745544433594, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2393, 'grad_norm': 14.052178382873535, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5615, 'grad_norm': 24.67228126525879, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5036, 'grad_norm': 30.916706085205078, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.18, 'grad_norm': 11.155738830566406, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1482, 'grad_norm': 13.702929496765137, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1601, 'grad_norm': 10.548624992370605, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2127, 'grad_norm': 23.4400634765625, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1418, 'grad_norm': 8.9571533203125, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2982, 'grad_norm': 36.925682067871094, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1754, 'grad_norm': 12.318469047546387, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3705, 'grad_norm': 22.410566329956055, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3948, 'grad_norm': 33.30604553222656, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.0493, 'grad_norm': 5.647056579589844, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3017, 'grad_norm': 15.289441108703613, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2149, 'grad_norm': 19.52316665649414, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2412, 'grad_norm': 14.531547546386719, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5245, 'grad_norm': 31.59899139404297, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1629, 'grad_norm': 17.692094802856445, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4908, 'grad_norm': 34.08216857910156, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.228, 'grad_norm': 14.123929023742676, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4621, 'grad_norm': 21.763721466064453, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6648, 'grad_norm': 30.91337776184082, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2572, 'grad_norm': 17.585186004638672, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.8488, 'grad_norm': 53.06232452392578, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2146, 'grad_norm': 22.235715866088867, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2747, 'grad_norm': 20.732112884521484, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.155, 'grad_norm': 9.537134170532227, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2552, 'grad_norm': 22.308025360107422, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1575, 'grad_norm': 11.324130058288574, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4339, 'grad_norm': 27.5358943939209, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2909, 'grad_norm': 23.543062210083008, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5559, 'grad_norm': 34.15925216674805, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2779, 'grad_norm': 13.790374755859375, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6225, 'grad_norm': 25.926319122314453, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2478, 'grad_norm': 27.59254264831543, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.5553, 'grad_norm': 24.314289093017578, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1631, 'grad_norm': 15.609748840332031, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.0158, 'grad_norm': 3.145810127258301, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.3344, 'grad_norm': 21.123538970947266, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2499, 'grad_norm': 14.37002182006836, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2503, 'grad_norm': 16.399126052856445, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1844, 'grad_norm': 14.863286018371582, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.2556, 'grad_norm': 14.925264358520508, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.6748, 'grad_norm': 43.04368209838867, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.4468, 'grad_norm': 24.41223907470703, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.1946, 'grad_norm': 24.895368576049805, 'learning_rate': 1e-06, 'epoch': 0.01}
{'loss': 0.404, 'grad_norm': 24.62519645690918, 'learning_rate': 1e-06, 'epoch': 0.01}
